state,population,I_reported,series_length,best_cost,beta,gamma,initial_I,S,I,R,Nw
SP,45919049,4620,41,344.27712994774004,0.3375877068157943,0.16666666666666666,5.0954351031393486e-08,45913675.47415175,2721.621540738877,2651.9043075073114,5371.186072904416
BR,217026005,11421,41,1158.2313123837325,0.3297412902202954,0.16666666666666666,3.4820302560661425e-08,217013053.055624,6409.04915598841,6542.895220000675,12944.387464831449
AM,4144597,417,24,26.50047817228226,0.3469545821663904,0.16666666666666666,6.866572059855091e-07,4144182.536166302,216.7248235591297,197.73901013920184,411.6179163023757
ES,4018650,194,32,7.180827344972602,0.3157241508646378,0.16666666666666666,2.0185658952290726e-07,4018442.342508688,98.46317205609772,109.19431925641392,206.84630032902538
RS,11377239,468,27,71.26209679710054,0.2893455362190853,0.16666666666666666,7.518394065962528e-07,11376694.594407553,235.74069575811092,308.6648966895474,535.8517358291945
PA,8602865,86,19,2.5848992812559546,0.3667014581844492,0.16666666666666666,1.3509308180127928e-07,8602767.237049595,53.857421729323214,43.905528674540776,96.60076285869364
SC,7164788,379,25,47.610890476827976,0.2836937724943777,0.16666666666666666,1.3957147092140058e-06,7164348.922638461,186.9916375555834,252.08572398417786,429.0773615397612
GO,7018354,115,25,3.0658308912485372,0.25126312207031765,0.16666666666666666,7.252874775738474e-07,7018238.327989345,42.32084737597275,73.35116327987129,110.58168638646372
MA,7075181,132,17,7.849170633153838,0.3816029785597294,0.16666666666666666,2.84989472161023e-07,7075043.124465457,78.53788449237946,59.337650049505186,135.85918244325097
BA,14873064,401,31,16.16366700301257,0.3109218884846621,0.16666666666666666,1.4512095041738363e-07,14872645.31701345,195.4058225620684,223.27716399308517,416.52459337185485
MG,21168791,498,29,78.54778624262195,0.29853124617376897,0.16666666666666666,2.5206137971350643e-07,21168240.648747973,246.07118223477454,304.28006979429836,545.015417362746
CE,9132078,960,21,384.5126889401992,0.3644191729385565,0.16666666666666666,1.0950410191415355e-06,9130907.676659923,639.6164383361822,530.7069017385418,1160.3233400747242
DF,3015268,468,30,115.87975059333135,0.2758942323109235,0.16666666666666666,2.925829680641281e-06,3014690.090907601,234.09226986424088,343.816822534185,569.0869317889383
PR,11433957,445,25,16.240837423087758,0.30686527221255205,0.16666666666666666,5.304875510146641e-07,11433520.072251748,202.9105023846853,234.0172458648165,430.86217640216483
PE,9557071,201,25,14.726241162120527,0.25985871310647873,0.16666666666666666,6.897086774686929e-07,9556893.275349855,67.96325360523387,109.76139653794935,171.13305534329885
RN,3506853,246,25,20.41904006982523,0.3856352663242528,0.16666666666666666,1.6882791909797099e-07,3506596.347988833,145.98206694994047,110.6699442169774,256.0599564723454
RJ,17264943,1394,32,186.479091114354,0.3168826352835161,0.16666666666666666,3.4850343932848987e-07,17263385.35981492,741.5157616822107,816.1244233930584,1551.6232930599588
SE,2298696,32,23,,,,,,,,
RR,605761,42,16,,,,,,,,
PI,3273227,24,18,,,,,,,,
PB,4018127,35,19,,,,,,,,
AC,881935,48,20,,,,,,,,
AP,845731,32,17,,,,,,,,
AL,3337357,28,29,,,,,,,,
TO,1572866,17,19,,,,,,,,
MT,3484466,60,17,,,,,,,,
RO,1777225,14,17,,,,,,,,
MS,2778986,65,23,,,,,,,,
